Haubstadt;38.2039;-87.5752;;Haubstadt38.2039-87.5752
Griffin;38.2043;-87.915;;Griffin38.2043-87.915
Jeffersontown;38.2048;-85.5701;;Jeffersontown38.2048-85.5701
Audubon Park;38.205;-85.727;;Audubon Park38.205-85.727
Shelbyville;38.2069;-85.2293;;Shelbyville38.2069-85.2293
Parkway Village;38.2113;-85.7381;;Parkway Village38.2113-85.7381
Corydon;38.213;-86.1257;;Corydon38.213-86.1257
Houston Acres;38.2147;-85.6143;;Houston Acres38.2147-85.6143
Forest Hills;38.2158;-85.5837;;Forest Hills38.2158-85.5837
Simpsonville;38.2167;-85.3514;;Simpsonville38.2167-85.3514
Wellington;38.2168;-85.6702;;Wellington38.2168-85.6702
Strathmoor Manor;38.219;-85.6836;;Strathmoor Manor38.219-85.6836
Hurstbourne Acres;38.2201;-85.5907;;Hurstbourne Acres38.2201-85.5907
Strathmoor Village;38.2208;-85.6778;;Strathmoor Village38.2208-85.6778
Cambridge;38.2217;-85.6172;;Cambridge38.2217-85.6172
Kingsley;38.2219;-85.6726;;Kingsley38.2219-85.6726
Meadowview Estates;38.2227;-85.6353;;Meadowview Estates38.2227-85.6353
Lincolnshire;38.2238;-85.6216;;Lincolnshire38.2238-85.6216
Ferdinand;38.2269;-86.8631;;Ferdinand38.2269-86.8631
Seneca Gardens;38.2272;-85.6772;;Seneca Gardens38.2272-85.6772
St. Regis Park;38.2289;-85.6159;;St. Regis Park38.2289-85.6159
Lanesville;38.2352;-85.9867;;Lanesville38.2352-85.9867
Douglass Hills;38.2366;-85.5499;;Douglass Hills38.2366-85.5499
Hurstbourne;38.238;-85.5891;;Hurstbourne38.238-85.5891
Woodland Hills;38.2393;-85.5289;;Woodland Hills38.2393-85.5289
Middletown;38.241;-85.5215;;Middletown38.241-85.5215
Blue Ridge Manor;38.2434;-85.5647;;Blue Ridge Manor38.2434-85.5647
Fort Branch;38.2461;-87.5734;;Fort Branch38.2461-87.5734
Holland;38.2464;-87.0384;;Holland38.2464-87.0384
Norbourne Estates;38.2466;-85.6465;;Norbourne Estates38.2466-85.6465
Sycamore;38.2468;-85.5612;;Sycamore38.2468-85.5612
Wildwood;38.249;-85.5747;;Wildwood38.249-85.5747
St. Matthews;38.2497;-85.6383;;St. Matthews38.2497-85.6383
Bellemeade;38.251;-85.591;;Bellemeade38.251-85.591
Mackey;38.2519;-87.3911;;Mackey38.2519-87.3911
Norwood;38.2521;-85.6107;;Norwood38.2521-85.6107
Richlawn;38.2547;-85.6412;;Richlawn38.2547-85.6412
Grayville;38.2554;-87.997;;Grayville38.2554-87.997
Spurgeon;38.2554;-87.2587;;Spurgeon38.2554-87.2587
Beechwood Village;38.2555;-85.6295;;Beechwood Village38.2555-85.6295
Bellewood;38.2608;-85.6594;;Bellewood38.2608-85.6594
Woodlawn Park;38.2615;-85.6305;;Woodlawn Park38.2615-85.6305
Brownsboro Village;38.2629;-85.6659;;Brownsboro Village38.2629-85.6659
Lyndon;38.2644;-85.5891;;Lyndon38.2644-85.5891
Druid Hills;38.2649;-85.6617;;Druid Hills38.2649-85.6617
Maryhill Estates;38.2663;-85.6532;;Maryhill Estates38.2663-85.6532
Rolling Fields;38.2689;-85.6708;;Rolling Fields38.2689-85.6708
Anchorage;38.2689;-85.5363;;Anchorage38.2689-85.5363
Mockingbird Valley;38.27;-85.6815;;Mockingbird Valley38.27-85.6815
Windy Hills;38.2702;-85.6378;;Windy Hills38.2702-85.6378
Owensville;38.2719;-87.6918;;Owensville38.2719-87.6918
Moorland;38.2728;-85.58;;Moorland38.2728-85.58
Graymoor-Devondale;38.2733;-85.6177;;Graymoor-Devondale38.2733-85.6177
Briarwood;38.278;-85.5926;;Briarwood38.278-85.5926
Meadowbrook Farm;38.2782;-85.5748;;Meadowbrook Farm38.2782-85.5748
Somerville;38.2786;-87.377;;Somerville38.2786-87.377
Crossgate;38.2793;-85.6296;;Crossgate38.2793-85.6296
Indian Hills;38.2808;-85.6616;;Indian Hills38.2808-85.6616
Rolling Hills;38.2825;-85.5784;;Rolling Hills38.2825-85.5784
Riverwood;38.2831;-85.6614;;Riverwood38.2831-85.6614
Bancroft;38.2832;-85.6129;;Bancroft38.2832-85.6129
Meadow Vale;38.2833;-85.5728;;Meadow Vale38.2833-85.5728
Plantation;38.2834;-85.5936;;Plantation38.2834-85.5936
Northfield;38.2857;-85.6362;;Northfield38.2857-85.6362
Langdon Place;38.2865;-85.5849;;Langdon Place38.2865-85.5849
Hickory Hill;38.2877;-85.5679;;Hickory Hill38.2877-85.5679
Crandall;38.2881;-86.0659;;Crandall38.2881-86.0659
Thornhill;38.2884;-85.6256;;Thornhill38.2884-85.6256
Old Brownsboro Place;38.2892;-85.6132;;Old Brownsboro Place38.2892-85.6132
Glenview Manor;38.2907;-85.6333;;Glenview Manor38.2907-85.6333
Murray Hill;38.2907;-85.5871;;Murray Hill38.2907-85.5871
Creekside;38.2914;-85.5701;;Creekside38.2914-85.5701
Goose Creek;38.2934;-85.5906;;Goose Creek38.2934-85.5906
Glenview Hills;38.2951;-85.6382;;Glenview Hills38.2951-85.6382
Broeck Pointe;38.2955;-85.5856;;Broeck Pointe38.2955-85.5856
Georgetown;38.2958;-85.9628;;Georgetown38.2958-85.9628
Spring Valley;38.2968;-85.6108;;Spring Valley38.2968-85.6108
Ten Broeck;38.2976;-85.5806;;Ten Broeck38.2976-85.5806
